,knum,z_dim,Dsize,lr,train_loss,minimum_val_loss,number_of_model_parameters
213,"[256, 512]",16,"[32, 16]",0.001,0.010880414978601038,0.01132865622639656,4496497
214,"[256, 512]",32,"[32, 16]",0.0001,0.007048411236610264,0.006363837514072657,4497025
215,"[256, 512]",32,"[32, 16]",0.001,0.010873478604480624,0.011328802444040775,4497025
216,"[2, 4, 8]",8,[],0.0001,0.0064142217161133885,0.005896855611354113,2961
217,"[2, 4, 8]",8,[],0.001,0.006428958964534104,0.0058824969455599785,2961
218,"[2, 4, 8]",16,[],0.0001,0.0057440633536316454,0.005002125166356564,5017
219,"[2, 4, 8]",16,[],0.001,0.005750096985138953,0.005006241612136364,5017
220,"[2, 4, 8]",32,[],0.0001,0.005326120357494801,0.004389891400933266,9129
221,"[2, 4, 8]",32,[],0.001,0.005347989150322974,0.004371534567326307,9129
222,"[2, 4, 8]",8,[16],0.0001,0.007675824803300202,0.007090023253113031,5297
223,"[2, 4, 8]",8,[16],0.001,0.00741101719904691,0.006555122323334217,5297
224,"[2, 4, 8]",16,[16],0.0001,0.0073748427093960345,0.006544572301208973,5561
225,"[2, 4, 8]",16,[16],0.001,0.007379977381788194,0.006515343673527241,5561
226,"[2, 4, 8]",32,[16],0.0001,0.00771444576093927,0.007094623986631632,6089
227,"[2, 4, 8]",32,[16],0.001,0.007355229288805276,0.0065422444604337215,6089
228,"[2, 4, 8]",8,[32],0.0001,0.006974336982239038,0.006266714073717594,9681
229,"[2, 4, 8]",8,[32],0.001,0.006998504512012005,0.006254682317376137,9681
230,"[2, 4, 8]",16,[32],0.0001,0.006991526752244681,0.006260002497583628,10201
231,"[2, 4, 8]",16,[32],0.001,0.006996077951043844,0.006247642915695906,10201
232,"[2, 4, 8]",32,[32],0.0001,0.006984172272495925,0.006258770823478699,11241
233,"[2, 4, 8]",32,[32],0.001,0.006958659156225622,0.00625243503600359,11241
234,"[2, 4, 8]",8,[64],0.0001,0.006763304874766618,0.006116731557995081,18449
235,"[2, 4, 8]",8,[64],0.001,0.006676828721538186,0.005924797151237726,18449
236,"[2, 4, 8]",16,[64],0.0001,0.006794707442168146,0.006120669189840555,19481
237,"[2, 4, 8]",16,[64],0.001,0.006823029601946473,0.006116018630564213,19481
238,"[2, 4, 8]",32,[64],0.0001,0.006777611968573183,0.006118942517787218,21545
239,"[2, 4, 8]",32,[64],0.001,0.006773267523385584,0.006108881440013647,21545
240,"[2, 4, 8]",8,"[64, 32]",0.0001,0.009871902293525636,0.010140066966414452,22097
241,"[2, 4, 8]",8,"[64, 32]",0.001,0.009877637727186084,0.010132567025721073,22097
242,"[2, 4, 8]",16,"[64, 32]",0.0001,0.009882812388241291,0.010139661841094494,22617
243,"[2, 4, 8]",16,"[64, 32]",0.001,0.009880830766633153,0.010135887190699577,22617
244,"[2, 4, 8]",32,"[64, 32]",0.0001,0.00986118265427649,0.01014062762260437,23657
245,"[2, 4, 8]",32,"[64, 32]",0.001,0.009867032640613616,0.010129046626389027,23657
246,"[2, 4, 8]",8,"[32, 16]",0.0001,0.009894735761918128,0.010149355046451092,10481
247,"[2, 4, 8]",8,"[32, 16]",0.001,0.009912051493301988,0.01014452800154686,10481
248,"[2, 4, 8]",16,"[32, 16]",0.0001,0.009907551226206124,0.010150290094316006,10745
249,"[2, 4, 8]",16,"[32, 16]",0.001,0.00937719689682126,0.00944516435265541,10745
250,"[2, 4, 8]",32,"[32, 16]",0.0001,0.00989331875462085,0.010150440968573093,11273
251,"[2, 4, 8]",32,"[32, 16]",0.001,0.0098953164415434,0.010140268132090569,11273
252,"[3, 9, 27]",8,[],0.0001,0.0059658027603290975,0.005677234381437302,12318
253,"[3, 9, 27]",8,[],0.001,0.005965945834759623,0.005678191315382719,12318
254,"[3, 9, 27]",16,[],0.0001,0.005111424834467471,0.004671295639127493,19238
255,"[3, 9, 27]",16,[],0.001,0.005128292657900602,0.0046709137968719006,19238
256,"[3, 9, 27]",32,[],0.0001,0.00444455404067412,0.0038263883907347918,33078
257,"[3, 9, 27]",32,[],0.001,0.004420341632794589,0.0038278286810964346,33078
